"Site_no","date","ParamLow","ParamHigh","Parameter","Uncen"
"01122610",1990-09-05,1.41596694857293,1.41596694857293,"CSMR",1
"01122610",1990-10-22,1.35977778394702,1.35977778394702,"CSMR",1
"01122610",1990-11-20,1.80449835632636,1.80449835632636,"Larson",1
"01122610",1990-11-20,1.18432258601837,1.18432258601837,"CSMR",1
"01122610",1990-12-17,1.06309899472221,1.06309899472221,"CSMR",1
"01122610",1991-01-08,2.26816492444145,2.26816492444145,"Larson",1
"01122610",1991-01-08,1.22380000555232,1.22380000555232,"CSMR",1
"01122610",1991-03-14,1.18432258601837,1.18432258601837,"CSMR",1
"01122610",1991-04-11,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1991-05-10,2.09800564083189,2.09800564083189,"Larson",1
"01122610",1991-05-10,1.24160073290581,1.24160073290581,"CSMR",1
"01122610",1991-06-11,1.55756364343022,1.55756364343022,"CSMR",1
"01122610",1991-07-08,1.67389832862846,1.67389832862846,"Larson",1
"01122610",1991-07-08,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1991-08-19,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1991-09-10,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1991-10-29,1.77526930139791,1.77526930139791,"Larson",1
"01122610",1991-10-29,1.35591477887899,1.35591477887899,"CSMR",1
"01122610",1991-11-20,1.99148481753808,1.99148481753808,"Larson",1
"01122610",1991-11-20,1.11254545959302,1.11254545959302,"CSMR",1
"01122610",1991-12-10,1.79433875184413,1.79433875184413,"Larson",1
"01122610",1991-12-10,1.05263916561493,1.05263916561493,"CSMR",1
"01122610",1992-01-10,2.00554121074202,2.00554121074202,"Larson",1
"01122610",1992-01-10,1.12049221287582,1.12049221287582,"CSMR",1
"01122610",1992-03-23,2.5262976988569,2.5262976988569,"Larson",1
"01122610",1992-03-23,1.18432258601837,1.18432258601837,"CSMR",1
"01122610",1992-04-15,2.23437702195707,2.23437702195707,"Larson",1
"01122610",1992-04-15,1.14433247272424,1.14433247272424,"CSMR",1
"01122610",1992-05-26,1.67084169543332,1.67084169543332,"Larson",1
"01122610",1992-05-26,1.35591477887899,1.35591477887899,"CSMR",1
"01122610",1992-06-16,2.34345766007984,2.34345766007984,"Larson",1
"01122610",1992-06-16,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1992-07-10,1.56945296231538,1.56945296231538,"Larson",1
"01122610",1992-07-10,1.54044755943648,1.54044755943648,"CSMR",1
"01122610",1992-08-13,1.51397488449836,1.51397488449836,"Larson",1
"01122610",1992-08-13,1.43041559090531,1.43041559090531,"CSMR",1
"01122610",1992-09-15,1.36027343097889,1.36027343097889,"Larson",1
"01122610",1992-09-15,1.66881818938952,1.66881818938952,"CSMR",1
"01122610",1992-11-10,1.4955535421623,1.4955535421623,"Larson",1
"01122610",1992-11-10,1.48339394612402,1.48339394612402,"CSMR",1
"01122610",1993-01-21,2.68141153391169,2.68141153391169,"Larson",1
"01122610",1993-01-21,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1993-03-22,3.0394837464645,3.0394837464645,"Larson",1
"01122610",1993-03-22,1.89132728130813,1.89132728130813,"CSMR",1
"01122610",1993-05-13,1.93940411025103,1.93940411025103,"Larson",1
"01122610",1993-05-13,1.54961689014741,1.54961689014741,"CSMR",1
"01122610",1993-06-09,2.00877040994145,2.00877040994145,"Larson",1
"01122610",1993-06-09,1.41596694857293,1.41596694857293,"CSMR",1
"01122610",1993-07-07,1.82829747041199,1.82829747041199,"Larson",1
"01122610",1993-07-07,1.41849546098109,1.41849546098109,"CSMR",1
"01122610",1993-08-03,1.58982388731478,1.58982388731478,"Larson",1
"01122610",1993-08-03,1.41849546098109,1.41849546098109,"CSMR",1
"01122610",1993-09-13,1.90139387571253,1.90139387571253,"Larson",1
"01122610",1993-09-13,1.16817273257267,1.16817273257267,"CSMR",1
"01122610",1993-11-23,2.68141153391169,2.68141153391169,"Larson",1
"01122610",1993-11-23,1.00129091363371,1.00129091363371,"CSMR",1
"01122610",1994-01-20,3.59259994708669,3.59259994708669,"Larson",1
"01122610",1994-01-20,1.72265103420854,1.72265103420854,"CSMR",1
"01122610",1994-05-13,2.52527119844913,2.52527119844913,"Larson",1
"01122610",1994-05-13,1.44630909747092,1.44630909747092,"CSMR",1
"01122610",1994-07-21,1.71278775749236,1.71278775749236,"Larson",1
"01122610",1994-07-21,1.58537727992005,1.58537727992005,"CSMR",1
"01122610",1994-08-29,2.08066820933541,2.08066820933541,"Larson",1
"01122610",1994-08-29,1.49618182496992,1.49618182496992,"CSMR",1
"01122610",1994-11-14,1.6182479412262,1.6182479412262,"CSMR",1
"01122610",1995-01-27,2.12581818820825,2.12581818820825,"Larson",1
"01122610",1995-01-27,1.46856000666278,1.46856000666278,"CSMR",1
"01122610",1995-03-10,2.39142817604316,2.39142817604316,"Larson",1
"01122610",1995-03-10,1.51862455234447,1.51862455234447,"CSMR",1
"01122610",1995-05-19,1.67028571930648,1.67028571930648,"Larson",1
"01122610",1995-05-19,1.46856000666278,1.46856000666278,"CSMR",1
"01122610",1995-06-14,2.11267848947903,2.11267848947903,"Larson",1
"01122610",1995-06-14,1.49618182496992,1.49618182496992,"CSMR",1
"01122610",1995-07-11,2.34345766007984,2.34345766007984,"Larson",1
"01122610",1995-07-11,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1995-08-08,1.93163441515739,1.93163441515739,"Larson",1
"01122610",1995-08-08,1.54044755943648,1.54044755943648,"CSMR",1
"01122610",1995-09-08,1.75759324505988,1.75759324505988,"Larson",1
"01122610",1995-09-08,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1995-11-30,2.02799220583832,2.02799220583832,"Larson",1
"01122610",1995-11-30,1.33505455151162,1.33505455151162,"CSMR",1
"01122610",1996-01-22,3.87204507979463,3.87204507979463,"Larson",1
"01122610",1996-01-22,2.00258182726743,2.00258182726743,"CSMR",1
"01122610",1996-03-11,3.74972044786917,3.74972044786917,"Larson",1
"01122610",1996-03-11,1.83031672384657,1.83031672384657,"CSMR",1
"01122610",1996-04-29,2.85657420505566,2.85657420505566,"Larson",1
"01122610",1996-04-29,1.66881818938952,1.66881818938952,"CSMR",1
"01122610",1996-06-19,1.76351920927052,1.76351920927052,"Larson",1
"01122610",1996-06-19,1.78801948863163,1.78801948863163,"CSMR",1
